Chlorophyll-a,Daylength,Destination,Distance to coast,Duration,ETA,Final Date,Fouling,IMO,Initial Date,Latitude,Longitude,Name,Speed,Status,Temperature,Type of Alert,Water Depth
0.9761538461538461,11.782125850340138,COLOMBO,0.17631242561819543,20.416666666666668,2017-11-11 17:00:00,2017-12-01 11:00:00,0.7858116838292215,9168544,2017-11-11 02:00:00,6.956551,79.855085,SSL CHENNAI,0.03612244897959184,Idle,28.895306122448925,High risk,0.8673469387755102
0.7795953757225418,13.4270046563905,QINHUANGDAO,3.779697624190081,74.0,2020-07-27 08:00:00,2020-07-22 23:00:00,0.6357904904388154,9305647,2020-05-10 00:00:00,22.502067,120.269366,HYUNDAI SHANGHAI,0.0500000000000003,Idle,29.74469572896593,High risk,-32.29479768786127
1.6099999999999997,13.332483237547898,,0.3584196022938854,17.75,2020-08-14 08:00:00,2020-08-13 21:00:00,0.7817021938968027,9305647,2020-07-27 04:00:00,30.167008,122.012316,HYUNDAI SHANGHAI,0.11637931034482756,Idle,27.72456016283587,High risk,-5.137931034482759
1.0305687203791423,13.243843376213027,CNZOS,3.639316166825809,61.541666666666664,2020-06-22 04:00:00,2020-06-20 07:00:00,0.6452628735932474,9305659,2020-04-19 19:00:00,22.516175,120.262991,HYUNDAI BUSAN,0.052403520649966326,Idle,28.294989844278778,High risk,-29.393364928909953
,13.952572463768115,,0.0234763827589445,18.791666666666668,2020-06-22 05:00:00,2020-07-11 23:00:00,0.7869827626664582,9305659,2020-06-23 05:00:00,30.156733,122.018903,HYUNDAI BUSAN,0.02608695652173913,Idle,25.408576552750247,High risk,4.695652173913044
0.5300000000000001,13.995833333333332,KRYOS,22.138228941684666,11.083333333333334,2020-07-14 20:00:00,2020-07-25 18:00:00,0.5292820247072402,9305659,2020-07-14 17:00:00,34.107732,128.050666,HYUNDAI BUSAN,0.07142857142857142,Idle,21.755244581807084,Low risk,-82.42857142857143
0.4388834951456304,11.666056499460634,THLCH,9.944641321898205,17.166666666666668,2020-02-17 09:00:00,2020-02-16 21:00:00,0.5886243840353599,9305661,2020-01-30 18:00:00,12.366933,100.8993,HYUNDAI HONG KONG,0.03640776699029119,Idle,28.82305825242718,High risk,-26.973300970873787
0.5594011976047911,14.431192614770454,KOREA ANCH,15.658747300215968,17.833333333333332,2020-06-11 06:00:00,2020-06-29 05:00:00,0.5338362848661447,9305661,2020-06-11 10:00:00,34.246033,128.070067,HYUNDAI HONG KONG,0.040119760479041894,Idle,20.63646139246658,High risk,-76.0
5.802083333333345,14.578123346560847,YEOSU ANCHORAGE,0.01767715725599095,14.0,2020-07-30 12:00:00,2020-07-28 04:00:00,0.9348709956274629,9305661,2020-07-14 05:00:00,39.877025,119.83795,HYUNDAI HONG KONG,0.020535714285714286,Idle,25.289880952380845,High risk,1.0089285714285714
1.4399999999999997,13.644930555555556,YEOSU OPL ANCHORAGE,12.41900647948164,9.0,2020-07-30 20:00:00,2020-08-08 10:00:00,0.5802969401281826,9305661,2020-07-30 11:00:00,34.294233,128.024317,HYUNDAI HONG KONG,0.09999999999999999,Idle,24.73403113574715,Low risk,-64.25
1.5817187500000045,13.395187717013894,,12.450644573434088,10.666666666666666,2020-08-11 12:00:00,2020-08-21 19:00:00,0.5810921355886661,9305661,2020-08-11 04:00:00,34.284917,128.058623,HYUNDAI HONG KONG,0.11523437499999997,Idle,25.513671875000036,Low risk,-66.9375
1.3990680100755701,11.646461656870981,HONGKONG,5.5192561925020645,16.541666666666668,2020-02-22 08:30:00,2020-03-06 00:00:00,0.7009908419638616,9305673,2020-02-18 12:00:00,22.150858,114.138733,HYUNDAI TOKYO,0.23803526448362594,Idle,19.531234256926975,High risk,-29.20403022670025
0.3507999999999996,13.503148611111108,ZHOUSHAN,2.699784017278613,59.083333333333336,2021-04-07 07:00:00,2020-07-02 11:00:00,0.6449842828838405,9305673,2020-05-04 10:00:00,22.572499,120.226491,HYUNDAI TOKYO,0.0939999999999998,Idle,29.6495008237232,High risk,-40.84
3.9233333333333342,13.721874999999995,,0.11999040076793856,21.041666666666668,2021-04-07 07:00:00,2020-07-26 05:00:00,0.8384644123602165,9305673,2020-07-05 05:00:00,30.164091,122.007608,HYUNDAI TOKYO,0.3611111111111111,Idle,26.360238422823073,High risk,-19.47222222222222
0.6315609756097545,13.825617208672103,QINGDAO,5.399568034557232,17.083333333333332,2020-07-27 22:00:00,2020-08-13 17:00:00,0.602492197155068,9305673,2020-07-27 16:00:00,35.823883,120.93425,HYUNDAI TOKYO,0.04243902439024385,Idle,24.780487804878,High risk,-29.4
1.5489473684210515,14.053099415204677,KRPUS,0.028418779129248607,10.291666666666666,2020-06-11 16:00:00,2020-06-10 09:00:00,0.803230560318269,9305685,2020-05-31 03:00:00,30.258867,122.243117,HYUNDAI SINGAPORE,0.054385964912280704,Idle,21.5419298245614,High risk,11.263157894736842
4.847086247086226,11.729704092204091,KRTYG,0.002517281134991718,17.875,2020-02-29 03:30:00,2020-03-18 01:00:00,0.7260241698379587,9323508,2020-02-29 05:00:00,34.958983,128.433883,HYUNDAI COLOMBO,0.004662004662004663,Idle,8.900000000000063,High risk,0.986013986013986
3.4,14.405833333333334,KRPUS KRTYG,0.5399568034557235,31.875,2020-05-04 02:00:00,2020-06-05 00:00:00,0.7922602183464256,9323522,2020-05-04 04:00:00,34.957708,128.434883,HYUNDAI JAKARTA,1.5,Idle,16.4,High risk,-3.0
